"Date","Transaction type","Order ID","Product Details","Total product charges","Total promotional rebates","Amazon fees","Other","Total (USD)"
"8/6/2021","Refund","111-2733583-8819430","Vorelec MX-21 Two-Channel Headphone Mixe...","-25.98","0","3.12","0","-22.86"
"8/3/2021","Order Payment","112-2016332-0131407","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-19.71","12.34","18.61"
"8/2/2021","Service Fees","---","Cost of Advertising","0","0","-91.74","0","-91.74"
"8/1/2021","Order Payment","113-7297067-7642652","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"8/1/2021","Order Payment","114-5952091-3817844","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"7/31/2021","Order Payment","111-2733583-8819430","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"7/31/2021","Order Payment","113-4919904-9388209","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"7/29/2021","Service Fees","---","Subscription Fee:","0","0","-39.99","0","-39.99"
"7/29/2021","Order Payment","112-6431671-1954636","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"7/28/2021","Previous statement's unavailable balance","---","Previous Reserve Amount Balance ","0","0","0","197.14","197.14"
"7/28/2021","Unavailable balance","---","Current Reserve Amount ","0","0","0","-197.14","-197.14"
"7/28/2021","Order Payment","114-6264716-0863456","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-11.72","4.35","18.61"
"7/27/2021","Order Payment","111-1968032-3241831","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"7/26/2021","Order Payment","112-9944417-1794664","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"7/26/2021","Order Payment","114-0845432-6706629","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-17.54","10.17","18.61"
"7/26/2021","Refund","111-9526616-1865814","Vorelec MX-21 Two-Channel Headphone Mixe...","-25.98","0","3.12","0","-22.86"
"7/25/2021","Order Payment","114-0551990-9338638","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"7/24/2021","Order Payment","114-2261124-4254623","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"7/23/2021","Order Payment","111-7142255-0483426","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","-5.2","-6.59","0","14.19"
"7/23/2021","Refund","112-7073889-1458663","Vorelec MX-21 Two-Channel Headphone Mixe...","-25.98","0","3.12","0","-22.86"
"7/22/2021","Order Payment","112-9880201-1297848","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"7/22/2021","Order Payment","111-1643670-7701052","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"7/22/2021","Order Payment","111-3270408-5389839","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"7/21/2021","Order Payment","112-7073889-1458663","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"7/17/2021","Order Payment","112-7053614-5549050","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"7/14/2021","Previous statement's unavailable balance","---","Previous Reserve Amount Balance ","0","0","0","141.04","141.04"
"7/14/2021","Unavailable balance","---","Current Reserve Amount ","0","0","0","-141.04","-141.04"
"7/14/2021","Order Payment","111-8340097-1479407","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","-7.15","-7.37","7.15","18.61"
"7/14/2021","Refund","112-5194120-0218669","Vorelec MX-21 Two-Channel Headphone Mixe...","-25.98","0","3.12","0","-22.86"
"7/14/2021","Order Payment","111-7498995-8013037","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"7/13/2021","Order Payment","113-0848712-9217860","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"7/13/2021","Order Payment","112-0810238-0122650","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"7/13/2021","Order Payment","112-5993534-5169813","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"7/13/2021","Order Payment","112-1648013-4643448","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-19.21","11.84","18.61"
"7/13/2021","Service Fees","2106301Q4J","FBA Removal Order: Return Fee","0","0","-0.32","0","-0.32"
"7/12/2021","Order Payment","113-8992086-4431450","Vorelec MX-21 Two-Channel Headphone Mixe...","0","0","-3.77","0","-3.77"
"7/11/2021","Order Payment","114-6729897-1492232","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"7/9/2021","Order Payment","112-5194120-0218669","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"7/8/2021","Order Payment","111-8049056-8695437","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","-1.55","-7.37","1.55","18.61"
"7/7/2021","Order Payment","114-4424270-6885041","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"7/7/2021","Service Fees","---","FBA Inventory Storage Fee","0","0","-0.75","0","-0.75"
"7/3/2021","Order Payment","112-0218815-2549015","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"7/2/2021","Service Fees","---","Cost of Advertising","0","0","-35.97","0","-35.97"
